Station,Year,승차총승객수,하차총승객수
Gangnam,2019,99815.5589,101911.0137
Gangnam,2020,70587.86612,71209.52186
Gangnam,2021,66788.61096,65586.70959
Gangnam,2022,71628.30959,70192.64932
Gangnam,2023,74722.27945,72250.21096
Gangnam,2024,75469.21898,73578.97445
Gangbyeon,2019,45256.92877,44599.42466
Gangbyeon,2020,28039.50546,27824.09563
Gangbyeon,2021,25769.55068,25273.87123
Gangbyeon,2022,29368.04384,28124.23288
Gangbyeon,2023,30804.96438,29263.83562
Gangbyeon,2024,29603.9927,28117.41241
Konkuk Univ.,2019,44281.96438,48527.35068
Konkuk Univ.,2020,29777.88251,32464.40437
Konkuk Univ.,2021,29208.07671,31177.86575
Konkuk Univ.,2022,33633.15616,36138.47123
Konkuk Univ.,2023,35859.59726,38023.27397
Konkuk Univ.,2024,35915.81752,37740.86496
Gyodae,2019,36182.64658,41165.81096
Gyodae,2020,26746.33607,30114.52186
Gyodae,2021,26153.29041,29451.24384
Gyodae,2022,28337.59178,32064.60822
Gyodae,2023,28543.17534,33823.0411
Gyodae,2024,28061.92701,33635.48905
Guro Digital Complex,2019,62872.35616,62866.58904
Guro Digital Complex,2020,48958.84153,48976.27049
Guro Digital Complex,2021,48059.18356,48121.92877
Guro Digital Complex,2022,50550.23288,50327.73151
Guro Digital Complex,2023,53388.33151,52771.4411
Guro Digital Complex,2024,52823.94161,52202.32847
Guui,2019,24282.32603,23394.38904
Guui,2020,19320.98087,18816.02186
Guui,2021,19187.34247,18975.44384
Guui,2022,20954.36164,20534.85205
Guui,2023,22774.44658,22168.25205
Guui,2024,23513.98905,22802.9635
Nakseongdae,2019,30033.51781,28897.72603
Nakseongdae,2020,22945.06557,21962.45082
Nakseongdae,2021,22806.34795,22068.38082
Nakseongdae,2022,24920.9863,24113.96164
Nakseongdae,2023,26403.66027,25474.30959
Nakseongdae,2024,26448.85766,25604.05474
Dangsan,2019,22026.07671,24330.8411
Dangsan,2020,15657.87432,17961.37978
Dangsan,2021,15122.02466,17359.51233
Dangsan,2022,16227.57534,18767.15342
Dangsan,2023,17175.80548,19854.00548
Dangsan,2024,16730.38686,19299.82482
Daerim,2019,29248.79452,30100.50411
Daerim,2020,21142.58197,21532.81694
Daerim,2021,20443.32877,20985.90411
Daerim,2022,21727.03288,22249.01644
Daerim,2023,23254.34247,23788.64658
Daerim,2024,23336.72263,23833.65693
Dorimcheon,2019,1190.227397,1278.578082
Dorimcheon,2020,1010.437158,1053.486339
Dorimcheon,2021,1121.060274,1152.852055
Dorimcheon,2022,1170.09589,1225.306849
Dorimcheon,2023,1177.479452,1249.254795
Dorimcheon,2024,1230.879562,1307.40146
Dongdaemun History & Culture Park,2019,18769.22192,21665.47671
Dongdaemun History & Culture Park,2020,10305.38251,11548.68306
Dongdaemun History & Culture Park,2021,9772.671233,10931.83836
Dongdaemun History & Culture Park,2022,11629.32877,13226.20548
Dongdaemun History & Culture Park,2023,13814.33699,15842.45205
Dongdaemun History & Culture Park,2024,14310.34672,16391.07664
Ttukseom,2019,18829.04932,19918.66849
Ttukseom,2020,15850.75956,17010.14208
Ttukseom,2021,17453.28493,18617.99452
Ttukseom,2022,19597.91233,20811.53973
Ttukseom,2023,22110.39178,23235.19452
Ttukseom,2024,23422.45255,24276.88686
Mullae,2019,20022.70959,20285.04384
Mullae,2020,16372.78415,16796.8306
Mullae,2021,16768.92603,17204.5589
Mullae,2022,18567.77534,19148.83836
Mullae,2023,20119.67397,20759.54247
Mullae,2024,20962.25547,21641.51825
Bangbae,2019,19743.47671,20257.93151
Bangbae,2020,13500.64481,13937.91803
Bangbae,2021,13459.34521,14110.04658
Bangbae,2022,15128.79452,15707.09589
Bangbae,2023,16009.52877,16543.24932
Bangbae,2024,15402.88321,15844.12409
Bongcheon,2019,25212.96986,23247.10685
Bongcheon,2020,20151.13934,18542.7541
Bongcheon,2021,19859.38082,18516.06301
Bongcheon,2022,21317.8274,19792.85753
Bongcheon,2023,22691.66849,21119.60548
Bongcheon,2024,22926.31022,21464.88686
Sadang,2019,43723.71507,48056.0274
Sadang,2020,30996.65574,34146.51366
Sadang,2021,29860.38082,32628.70959
Sadang,2022,34885.15616,38374.46301
Sadang,2023,38153.79178,41871.79452
Sadang,2024,39226.07664,42100.43431
Samseong,2019,59817.01918,61138.48767
Samseong,2020,40438.74317,41238.75137
Samseong,2021,39636.96986,39988.04932
Samseong,2022,46045.90959,46240.4411
Samseong,2023,51323.27671,51417.29041
Samseong,2024,50680.5146,50873.44161
Sangwangsimni,2019,14512.86575,13831.36712
Sangwangsimni,2020,11197.63115,10742.64754
Sangwangsimni,2021,11582.16712,11248.8411
Sangwangsimni,2022,12629.29315,12218.9726
Sangwangsimni,2023,13539.1726,13080.10137
Sangwangsimni,2024,13665.82117,13363.00365
Seoul Nat'l Univ.,2019,53263.59452,51470.46575
Seoul Nat'l Univ.,2020,40111.61202,38985.62295
Seoul Nat'l Univ.,2021,39528.43836,38862.40274
Seoul Nat'l Univ.,2022,42764.20274,41845.64658
Seoul Nat'l Univ.,2023,44522.36986,43275.71507
Seoul Nat'l Univ.,2024,44091.28467,42814.28102
Seocho,2019,23450.59452,23292.07397
Seocho,2020,16912.59016,16648.71858
Seocho,2021,16898.00274,16241.4
Seocho,2022,18907.71507,17909.14247
Seocho,2023,20590.3863,19596.52055
Seocho,2024,20393.27372,19642.0438
Seolleung,2019,53999.09315,47991.07397
Seolleung,2020,42992.5765,38427.32514
Seolleung,2021,42180.34247,37582.29041
Seolleung,2022,46278.53425,41034.92603
Seolleung,2023,50061.82192,44083.05205
Seolleung,2024,50773.55839,44648.22993
Seongsu,2019,28685.31781,31124.56986
Seongsu,2020,25190.21585,27741.81148
Seongsu,2021,27768.59726,30412.83562
Seongsu,2022,32206.2274,35332.65479
Seongsu,2023,36987.43288,40737.0137
Seongsu,2024,40367.30292,44364.70073
City Hall,2019,25554.96986,24224.69315
City Hall,2020,17783.79235,17383.77049
City Hall,2021,17175.34247,16367.38356
City Hall,2022,19933.09863,18949.94521
City Hall,2023,23470.05205,21989.45205
City Hall,2024,23958.79562,22485.96715
Sindap,2019,1603.328767,1760.482192
Sindap,2020,1263.838798,1416.139344
Sindap,2021,1298.852055,1485.564384
Sindap,2022,1474.542466,1628.424658
Sindap,2023,1550.715068,1708.589041
Sindap,2024,1535.193431,1683.740876
Sindang,2019,15046.41096,15587.27123
Sindang,2020,11465.32514,11783.11475
Sindang,2021,11541.94795,11990.89589
Sindang,2022,12718.43836,13197.64932
Sindang,2023,13946.26301,14624.26575
Sindang,2024,14216.12774,14968.87591
Sindaebang,2019,28907.38904,27576.5863
Sindaebang,2020,22272.05738,21342.92077
Sindaebang,2021,22060.7863,21487.97808
Sindaebang,2022,23401.12055,22668.27397
Sindaebang,2023,24463.31507,23606.41918
Sindaebang,2024,24281.58759,23412.62044
Sindorim,2019,58899.70959,58541.75342
Sindorim,2020,41587.8388,40956.28415
Sindorim,2021,40359.39452,39681.96712
Sindorim,2022,43743.69041,43767.00274
Sindorim,2023,47547.76164,46837.76438
Sindorim,2024,48535.56934,47633.42701
Sillim,2019,70358.50411,68409.87671
Sillim,2020,54015.55738,52096.64208
Sillim,2021,52800.33699,51294.16438
Sillim,2022,54648.10685,52706.89589
Sillim,2023,53230.63288,51072.87671
Sillim,2024,52439.90511,50491.64234
Sinseol-dong,2019,4351.660274,4173.30137
Sinseol-dong,2020,2895.31694,2847.166667
Sinseol-dong,2021,2899.073973,2815.389041
Sinseol-dong,2022,3362.665753,3222.038356
Sinseol-dong,2023,3635.216438,3560.558904
Sinseol-dong,2024,3681.733577,3588.277372
Sinjeongnegeori,2019,10004.39178,10281.64384
Sinjeongnegeori,2020,7808.778689,8049.726776
Sinjeongnegeori,2021,8454.205479,8732.126027
Sinjeongnegeori,2022,9230.084932,9429.605479
Sinjeongnegeori,2023,9748.035616,10033.03562
Sinjeongnegeori,2024,9689.649635,9958.036496
Sinchon,2019,47341.37534,48405.92603
Sinchon,2020,28481.00273,29503.5765
Sinchon,2021,27122.89315,27714.66849
Sinchon,2022,32580.43014,32996.12603
Sinchon,2023,37105.8411,37565.66027
Sinchon,2024,36987.57299,37718.05474
Ahyeon,2019,10883.48767,10461.10959
Ahyeon,2020,8050.532787,7682.308743
Ahyeon,2021,8548.769863,8244.50137
Ahyeon,2022,9380.791781,8918.20274
Ahyeon,2023,10322.83014,9641.405479
Ahyeon,2024,10402.86131,9669.912409
Yangcheon-gu Office,2019,7229.665753,7535.671233
Yangcheon-gu Office,2020,5373.759563,5620.923497
Yangcheon-gu Office,2021,5501.079452,5812.471233
Yangcheon-gu Office,2022,6082.29863,6265.769863
